facility_a,facility_b,distance_km,feasible
DEL-HOSP,HYD-PHC,1255.7,False
DEL-HOSP,HYD-PHARM,1255.5,False
DEL-HOSP,PNQ-HOSP,1174.0,False
DEL-HOSP,PNQ-PHC,1172.5,False
DEL-HOSP,PNQ-PHARM,1175.2,False
DEL-PHC,HYD-HOSP,1267.9,False
DEL-PHC,HYD-PHC,1266.1,False
DEL-PHC,HYD-PHARM,1266.0,False
DEL-PHC,PNQ-HOSP,1184.5,False
DEL-PHC,PNQ-PHC,1183.0,False
DEL-PHC,PNQ-PHARM,1185.8,False
DEL-PHARM,HYD-HOSP,1267.2,False
DEL-PHARM,HYD-PHC,1265.4,False
DEL-PHARM,HYD-PHARM,1265.2,False
DEL-PHARM,PNQ-HOSP,1182.1,False
DEL-PHARM,PNQ-PHC,1180.6,False
DEL-PHARM,PNQ-PHARM,1183.3,False
BLR-HOSP,HYD-HOSP,496.8,False
BLR-HOSP,HYD-PHC,498.4,False
BLR-HOSP,HYD-PHARM,495.9,False
BLR-HOSP,PNQ-HOSP,731.4,False
BLR-HOSP,PNQ-PHC,738.3,False
BLR-HOSP,PNQ-PHARM,732.0,False
BLR-PHC,HYD-HOSP,510.1,False
BLR-PHC,HYD-PHC,511.7,False
BLR-PHC,HYD-PHARM,509.1,False
BLR-PHC,PNQ-HOSP,739.0,False
BLR-PHC,PNQ-PHC,745.9,False
BLR-PHC,PNQ-PHARM,739.5,False
BLR-PHARM,HYD-HOSP,510.1,False
BLR-PHARM,HYD-PHC,511.7,False
BLR-PHARM,HYD-PHARM,509.2,False
BLR-PHARM,PNQ-HOSP,741.6,False
BLR-PHARM,PNQ-PHC,748.5,False
BLR-PHARM,PNQ-PHARM,742.1,False
MAA-HOSP,PNQ-HOSP,916.5,False
MAA-HOSP,PNQ-PHC,924.1,False
MAA-HOSP,PNQ-PHARM,917.5,False
MAA-PHC,PNQ-HOSP,914.5,False
MAA-PHC,PNQ-PHC,922.2,False
MAA-PHC,PNQ-PHARM,915.6,False
MAA-PHARM,PNQ-HOSP,912.4,False
MAA-PHARM,PNQ-PHC,920.0,False
MAA-PHARM,PNQ-PHARM,913.4,False
HYD-HOSP,MAA-HOSP,517.6,False
HYD-HOSP,MAA-PHC,520.6,False
HYD-HOSP,MAA-PHARM,521.5,False
HYD-HOSP,HYD-PHC,1.8,True
HYD-HOSP,HYD-PHARM,10.3,True
HYD-HOSP,PNQ-HOSP,504.7,False
HYD-HOSP,PNQ-PHC,512.3,False
HYD-HOSP,PNQ-PHARM,506.5,False
HYD-PHC,MAA-HOSP,519.4,False
HYD-PHC,MAA-PHC,522.4,False
HYD-PHC,MAA-PHARM,523.3,False
HYD-PHC,PNQ-HOSP,503.7,False
HYD-PHC,PNQ-PHC,511.4,False
HYD-PHC,PNQ-PHARM,505.5,False
HYD-PHARM,MAA-HOSP,522.5,False
HYD-PHARM,MAA-PHC,525.3,False
HYD-PHARM,MAA-PHARM,526.1,False
HYD-PHARM,HYD-PHC,9.7,True
HYD-PHARM,PNQ-HOSP,494.6,False
HYD-PHARM,PNQ-PHC,502.2,False
HYD-PHARM,PNQ-PHARM,496.4,False
PNQ-HOSP,PNQ-PHC,7.9,True
PNQ-HOSP,PNQ-PHARM,2.1,True
PNQ-PHARM,PNQ-PHC,6.6,True
